Dataset,Model,Precision,Recall,F1-Score
Credit Card,Logistic Regression,0.06238003838771593,0.8783783783783784,0.11648745519713262
Credit Card,Random Forest,0.4326241134751773,0.8243243243243243,0.5674418604651162
Credit Card,Xgboost,0.44525547445255476,0.8243243243243243,0.5781990521327014
PaySim,Logistic Regression,0.02277289630434067,0.9466484268125855,0.044475866058229965
PaySim,Random Forest,0.07225404481961611,0.9835841313269493,0.1346189852087624
PaySim,Xgboost,0.1792079207920792,0.9904240766073872,0.303500314399497
