Dataset,Accuracy,ROC_AUC,PR_AUC,F1,MCC,Recall@1%,Precision,Recall,Specificity(TNR),ValThr(MCC)
CreditCard,0.9975944190522011,0.9986034964311575,0.5459591096684149,0.7368421052631579,0.762840308261144,1.0,0.5833333333333334,1.0,0.9975862901279267,0.9456735849380493
PaySim,0.9386617743777909,0.9481069828513364,0.011146720840391049,0.018826135105204873,0.08376180994876513,0.09523809523809523,0.009523809523809525,0.8095238095238095,0.9387557156713315,0.8754216432571411
