dataset,model,imbalance,test_ACC@valF1,test_ROC_AUC@valF1,test_PR_AUC@valF1,test_F1@valF1,test_MCC@valF1,test_recall@1%
CC,XGBoost,baseline,0.9996005545243074,0.9763237208981626,0.8313984089365216,0.8721804511278195,0.87399093633936,0.8732394366197183
CC,RandomForest,smote,0.9993420898047417,0.9715178900554524,0.8188632894379317,0.8,0.7997524509536801,0.8873239436619719
CC,LogReg,smote,0.9992011090486148,0.9599838960329478,0.6984223546199799,0.7638888888888888,0.7635627432572348,0.8873239436619719
CC,IsolationForest,baseline,,0.957754434723574,0.1757205284873394,0.2727272727272727,0.27650626454404165,0.6197183098591549
PS,XGBoost,smote,0.9999866666666667,0.995878146962014,0.9833871083387108,0.9915966386554622,0.9916250359384984,0.9833333333333333
PS,RandomForest,smote,0.9999866666666667,0.9915675874032559,0.9833466666666667,0.9915966386554622,0.9916250359384984,0.9833333333333333
PS,LogReg,undersample,0.9994533333333333,0.9794095276220978,0.5720153015024556,0.6095238095238096,0.6155783747549497,0.8333333333333334
PS,IsolationForest,baseline,,0.9785750822880527,0.07623847443596701,0.1111111111111111,0.12292180596075603,0.48333333333333334
