dataset,model,imbalance,val_bestF1_threshold,val_bestF1_score,val_bestMCC_threshold,val_bestMCC_score,test_ROC_AUC@valF1,test_PR_AUC@valF1,test_F1@valF1,test_MCC@valF1,test_ACC@valF1,test_recall@1%
CC,LogReg,baseline,0.08973102271556854,0.7596899224806202,0.1410989910364151,0.7658542336708074,0.8930703880598598,0.6466163187068457,0.7555555555555555,0.7561887504000815,0.9992246058413027,0.8028169014084507
CC,LogReg,class_weight,0.9974902868270874,0.8142857142857143,0.9974902868270874,0.814063161097721,0.9660225521837483,0.6970413065183185,0.738255033557047,0.7386154677033344,0.9990836250851759,0.8873239436619719
CC,LogReg,undersample,0.9999927282333374,0.6172839506172839,0.9999880790710449,0.6226682160096703,0.9513730140208603,0.4401961718935768,0.5909090909090909,0.601468707040781,0.9983082309264786,0.8450704225352113
CC,LogReg,smote,0.9994513392448425,0.8115942028985508,0.9994513392448425,0.8116306350902842,0.9599838960329478,0.6984223546199799,0.7638888888888888,0.7635627432572348,0.9992011090486148,0.8873239436619719
CC,RandomForest,baseline,0.4677619047619047,0.875,0.4677619047619047,0.8801099397583618,0.9378706100280843,0.7957674545423247,0.8461538461538461,0.849558725583918,0.999530064146244,0.8450704225352113
CC,RandomForest,class_weight,0.2147590484222301,0.8702290076335878,0.2147590484222301,0.8731234381687989,0.9465613820372811,0.7872199953916125,0.8088235294117647,0.8093086885213561,0.9993890833901172,0.8450704225352113
CC,RandomForest,undersample,0.8896666666666667,0.8059701492537313,0.8896666666666667,0.8071094942402436,0.9733845314401945,0.6533688693143329,0.7913669064748201,0.7912107082525818,0.9993185930120538,0.8450704225352113
CC,RandomForest,smote,0.3440833333333333,0.8421052631578947,0.3440833333333333,0.8437994766436864,0.9715178900554524,0.8188632894379317,0.8,0.7997524509536801,0.9993420898047417,0.8873239436619719
CC,XGBoost,baseline,0.1732269525527954,0.8661417322834646,0.1732269525527954,0.872066609189946,0.9763237208981626,0.8313984089365216,0.8721804511278195,0.87399093633936,0.9996005545243074,0.8732394366197183
CC,XGBoost,class_weight,0.8366681337356567,0.873015873015873,0.8366681337356567,0.8799751602308306,0.9776231764528045,0.8180000754912847,0.8372093023255814,0.841260305318732,0.9995065673535563,0.8732394366197183
CC,XGBoost,undersample,0.9999957084655762,0.75,0.9999957084655762,0.7541660877871754,0.9696837350595762,0.7175174968396739,0.7714285714285715,0.7711310306655983,0.9992481026339904,0.8732394366197183
CC,XGBoost,smote,0.9814586043357849,0.8412698412698413,0.9814586043357849,0.8479225910825244,0.9682889750478013,0.8205907333958636,0.828125,0.8328809952691669,0.9994830705608685,0.8732394366197183
CC,IsolationForest,baseline,0.6036548039532869,0.2389937106918239,0.6036548039532869,0.2389606594690925,0.957754434723574,0.1757205284873394,0.2727272727272727,0.27650626454404165,,0.6197183098591549
PS,LogReg,baseline,0.0,0.0015987210231814548,0.0,0.0,0.2849413975624944,0.0005263406962082183,0.0015987210231814548,0.0,0.0008,0.0
PS,LogReg,class_weight,0.9983062744140625,0.21359223300970873,0.9983062744140625,0.21603338348656456,0.9670215060937638,0.10410519835430623,0.1568627450980392,0.158802473382748,0.9988533333333334,0.5166666666666667
PS,LogReg,undersample,0.7531241178512573,0.5660377358490566,0.7531241178512573,0.5707430922977623,0.9794095276220978,0.5720153015024556,0.6095238095238096,0.6155783747549497,0.9994533333333333,0.8333333333333334
PS,LogReg,smote,0.9980382323265076,0.21782178217821782,0.9980382323265076,0.22126908339816231,0.9672155502179521,0.11208885936104364,0.15841584158415842,0.16074249044877806,0.9988666666666667,0.55
PS,RandomForest,baseline,0.62275,1.0,0.62275,1.0,0.9915684770038253,0.9833466666666666,0.9830508474576272,0.9831789607892581,0.9999733333333334,0.9833333333333333
PS,RandomForest,class_weight,0.5349780968095744,1.0,0.5349780968095744,1.0,0.9916099546303709,0.9833466666666666,0.9830508474576272,0.9831789607892581,0.9999733333333334,0.9833333333333333
PS,RandomForest,undersample,0.8905212418300653,0.967741935483871,0.8905212418300653,0.9682199956456043,0.9872787118583755,0.9730188131106458,0.95,0.9499599679743795,0.99992,0.9833333333333333
PS,RandomForest,smote,0.5199999999999999,1.0,0.5199999999999999,1.0,0.9915675874032559,0.9833466666666667,0.9915966386554622,0.9916250359384984,0.9999866666666667,0.9833333333333333
PS,XGBoost,baseline,0.9955959916114807,0.9285714285714286,0.9955959916114807,0.9308996498457487,0.988333778133618,0.9419929405250811,0.8679245283018868,0.8755132595951203,0.9998133333333333,0.9833333333333333
PS,XGBoost,class_weight,0.9924765229225159,0.9285714285714286,0.9924765229225159,0.9308996498457487,0.9900146784093942,0.9421128537924387,0.8727272727272727,0.8762683940359107,0.9998133333333333,0.9833333333333333
PS,XGBoost,undersample,0.999933123588562,1.0,0.999933123588562,1.0,0.993867204875011,0.9833695180199739,0.9915966386554622,0.9916250359384984,0.9999866666666667,0.9833333333333333
PS,XGBoost,smote,0.999874472618103,1.0,0.999874472618103,1.0,0.995878146962014,0.9833871083387108,0.9915966386554622,0.9916250359384984,0.9999866666666667,0.9833333333333333
PS,IsolationForest,baseline,0.6299854995831647,0.125,0.5673555199281072,0.16302931583019128,0.9785750822880527,0.07623847443596701,0.1111111111111111,0.12292180596075603,,0.48333333333333334
