Dataset,Technique,ROC_AUC,PR_AUC,F1,MCC,Recall@1%
CreditCard,Baseline,0.9991207199751732,0.8176677931418042,0.6060606060606061,0.6116438085836613,1.0
CreditCard,ClassWeight,0.9986034964311575,0.5459591096684149,0.7368421052631579,0.762840308261144,1.0
CreditCard,UnderSample,0.9985259128995552,0.5248106502846615,0.7368421052631579,0.762840308261144,1.0
CreditCard,SMOTE,0.9986724595703597,0.5709591096684149,0.7222222222222222,0.739725358110542,1.0
PaySim,Baseline,0.4994061640174983,0.0009178397996213224,0.0015849255965483843,0.004706088918286196,0.0
PaySim,ClassWeight,0.9481069828513364,0.011146720840391049,0.018826135105204873,0.08376180994876513,0.09523809523809523
PaySim,UnderSample,0.9187104521731096,0.09588508473650711,0.0,0.0,0.38095238095238093
PaySim,SMOTE,0.9627582361751683,0.262545105491019,0.32432432432432434,0.3269016705337987,0.7619047619047619
