Dataset,Algorithm,ROC_AUC,PR_AUC,F1,MCC,Recall@1%
CreditCard,LogisticRegression,0.9986034964311575,0.5459591096684149,0.7368421052631579,0.762840308261144,1.0
CreditCard,RandomForest,0.9999655184303989,0.9901360544217686,0.9333333333333333,0.9351885375539988,1.0
CreditCard,XGBoost,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0
CreditCard,IsolationForest,0.992534740181373,0.2740288369484337,0.3225806451612903,0.32158982932259433,0.6428571428571429
PaySim,LogisticRegression,0.9481069828513364,0.011146720840391049,0.018826135105204873,0.08376180994876513,0.09523809523809523
PaySim,RandomForest,0.9992873968209981,0.9545884578997164,0.975609756097561,0.9758831705874502,0.9523809523809523
PaySim,XGBoost,0.9999554623013124,0.973214285714286,0.975609756097561,0.9758831705874502,1.0
PaySim,IsolationForest,0.9485606075601919,0.07684077750285036,0.0,0.0,0.42857142857142855
